year,mint_mark,condition,cost,description,personal_notes,source_file,personal_ref,purchase_date
1941 S,,average circ,1.50,Lincoln Head Penny,,Lincoln head pennies including wheaties - 1.xlsx,20,6/1/17
1909VDB,,extra fine #2,points,Lincoln Head Penny,,Lincoln head pennies including wheaties - 1.xlsx,25,9/22/17
1899,,Good,Points,Lincoln Head Penny,,Lincoln head pennies including wheaties - 1B.xlsx,120,2/21/19
1900,,Good,Points,Lincoln Head Penny,,Lincoln head pennies including wheaties - 1B.xlsx,121,2/21/19
1908,,Good,Points,Lincoln Head Penny,,Lincoln head pennies including wheaties - 1B.xlsx,122,2/21/19
1943PDS,,,5.95,Lincoln Head Penny,,Lincoln head pennies including wheaties - 1B.xlsx,124,11/26/19
1909VDB,,very fine,48.00,Lincoln Head Penny,,Lincoln head pennies including wheaties - 2.xlsx,214,
