coin_id,year,program,denomination,mint_mark,country,condition,cost,personal_photos,reference_imgs,fully_missing,obverse_url,reverse_url
e87fcfa3-396a-4273-8ebf-98b9d5413725,1853,,Nickel,,US,Fine,$185.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
10fd1c4f-8fbf-434d-9a54-07706823c8bc,1854,,Nickel,,US,Very Fine,$76.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
6ee57bb5-a0b6-4f83-90ed-d7b66e9e10a0,1855,,Nickel,,US,Fine,$63.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
a0201f43-c7bb-4367-87ac-c9b404530c63,1856,,Nickel,,US,Average Circulated,$45.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
0e41d691-2f12-48d0-b8de-00f8571c53d7,1857,,Nickel,O,US,Extremely Fine,$135.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
8e84b84d-7509-403e-874f-f2510176c64d,1857,,Nickel,,US,Choice AU58,$225.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
b212faf0-36fb-444e-ac57-c3618b7c8570,1858,,Nickel,O,US,Very Fine,$95.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
c1abc31d-d267-4cf0-b7fe-e0e167c61bd6,1858,,Nickel,,US,Very Fine,$85.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
17d482a1-c5f0-4e6b-b382-08dccefa8205,1859,,Nickel,O,US,Extremely Fine,$195.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
dc2cb322-38cb-42a4-b8c6-c13b5742e8cd,1859,,Nickel,,US,About Uncirculated 50,$210.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
f492137a-18c3-40ca-9504-29de995a747c,1859,Indian Head Cent,1 Cent,,US,Extremely Fine,$199.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
0f56bc59-ba74-4d0a-9c3a-fdc4c14338c1,1860,,Nickel,,US,Very Fine,$67.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
149c95c5-e2ac-4454-87f9-e0b77b11d8fd,1860,,Nickel,O,US,Fine,$75.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
b0d6c3d7-3c5a-4e21-8c36-7196badd41d5,1860,Indian Head Cent,1 Cent,,US,Very Fine,$95.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
dda90a3d-a0f8-45bc-b3aa-170e66831ded,1860,Indian Head Cent,1 Cent,,US,MS-63,$450.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
3819614f-cad1-4640-9075-c37873fd420d,1861,,Nickel,,US,Very Good,$58.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
719f5144-e5e2-49d6-91f9-9a40901a8f2e,1861,Indian Head Cent,1 Cent,,US,Fine,$99.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
b92827ae-e331-4c22-97f0-a2d538a43c22,1862,,Nickel,,US,Extremely Fine,$121.50,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
c65e3efd-276f-4b3d-bcbd-301255148e07,1863,,Nickel,,US,Very Choice Uncirculated,$1450.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
542f42c0-31a0-43b3-9d35-cb1417fdde87,1864,Indian Head Cent,1 Cent,,US,Fine/VF,$270.00,Obverse only,None,no,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/reference...,
