Category,Series,Denomination,Year,Mint Mark,Variety,Has History,Has Obverse Image,Has Reverse Image,AI_Audited_Status
coin,Lincoln Shield Cents,One Cent,2018,S,Proof,No,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2019,P,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2019,D,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2019,S,Proof,No,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2019,W,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2019,W,Proof,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2019,W,Reverse Proof,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2020,P,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2020,D,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2020,S,Proof,No,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2021,P,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2021,D,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2021,S,Proof,No,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2022,P,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2022,D,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2022,S,Proof,No,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2023,P,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2023,P,Extra V.D.B. Obverse,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2023,D,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2023,S,Proof,No,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2024,P,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2024,D,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2024,S,Proof,No,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2025,P,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2025,D,,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2025,S,Proof,No,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2026,P,Liberty Bell 250 Privy Mark,Yes,Yes,Yes,Yes
coin,Lincoln Shield Cents,One Cent,2026,D,Liberty Bell 250 Privy Mark,Yes,Yes,Yes,Yes
