Category,Series,Denomination,Year,Mint Mark,Variety,Has History,Has Obverse Image,Has Reverse Image,AI_Audited_Status
coin,Lincoln Cents,One Cent,1950,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1950,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1950,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1950,S,S over D,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1951,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1951,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1951,D,D over S,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1951,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1952,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1952,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1952,D,D over S,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1952,S,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1953,P,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1953,D,,Yes,Yes,Yes,Yes
coin,Lincoln Cents,One Cent,1953,S,,Yes,Yes,Yes,Yes
