year,mint,series,name,denom,est_value,index_key,coin_id
1979,P,Susan B. Anthony Dollar,Dollar,Dollar,$1.00 - $1.50,,0a7be39a-8210-4524-985a-fe8e87de440a
1980,D,Susan B. Anthony Dollar,Dollar,Dollar,$1.00 - $1.50,,0ff72932-2a36-4cad-b1de-4a5deb2d295a
2001,P,Sacagawea,Dollar,Dollar,$1.00 - $1.25,,29f511ee-d7bb-45fd-a075-69e38a1186b6
1979,D,Susan B. Anthony Dollar,Dollar,Dollar,$1.00 - $1.50,,dee46559-9787-4fac-8e02-96f0ea6cfb43
1990,P,,Dime,Dime,$0.50 - $50.00,,670ed8fd-b87c-4761-9ade-20795f05df3c
2021,P,Washington Quarter,Quarter Dollar,Quarter Dollar,$0.50 - $2.00,,8c95ecc6-0064-4f72-b7d5-78a4d2b5d777
1976,,Bicentennial Program,Half Dollar,Half Dollar,$0.50 - $0.75,,f0b1984b-0ebf-496e-93fd-aa5ea63f04b8
1999,D,50 State Quarters,Quarter,Quarter,$0.25 - $1.00,,b5f9c5ae-11dd-44b6-9f1f-b0113cf9cbf6
1936,,Lincoln Cent (Wheat Reverse),Penny,Penny,$0.05 - $0.25,,80103054-84e3-45ab-aebd-322c01e723b9
