Count,Year,Mint,Denomination,Program/Series,Theme/Subject,Resolved_Program,Resolved_Subject,Best_Key_Tried
2,1921,S,Penny,Lincoln Cent,Lincoln Head,lincoln-cent,,1921_S_lincoln-cent
2,1922,,Dollar,Peace Dollar,,peace-dollar,,1922_peace-dollar
2,1922,D,Penny,Lincoln Head Penny,Lincoln Portrait,lincoln-cent,,1922_D_lincoln-cent
2,1923,,Dollar,Peace Dollar,,peace-dollar,,1923_peace-dollar
2,1924,D,Dime,Mercury Dime,,mercury-dime,,1924_D_mercury-dime
2,1924,S,Dime,Mercury Dime,Winged Liberty,mercury-dime,,1924_S_mercury-dime
2,1924,,Dollar,Peace Dollar,,peace-dollar,,1924_peace-dollar
2,1925,,Dollar,Peace Dollar,,peace-dollar,,1925_peace-dollar
2,1925,,Nickel,,,nickel,,1925_nickel
2,1925,S,Penny,Lincoln Cent,Lincoln Cent (Wheat Reverse),lincoln-cent,,1925_S_lincoln-cent
2,1925,D,Penny,Lincoln Cent,Lincoln Cent (Wheat Reverse),lincoln-cent,,1925_D_lincoln-cent
2,1925,,Quarter,Standing Liberty Silver Quarter,Standing Liberty,quarter,,1925_quarter
2,1926,,Dime,Mercury Dime,Winged Liberty Head,mercury-dime,,1926_mercury-dime
2,1926,,Nickel,,,nickel,,1926_nickel
2,1927,S,Dime,Mercury Dime,Winged Liberty,mercury-dime,,1927_S_mercury-dime
2,1927,S,Penny,Lincoln Head Penny,Lincoln Head Penny,lincoln-cent,,1927_S_lincoln-cent
2,1927,D,Penny,Lincoln Head Penny,Lincoln Portrait,lincoln-cent,,1927_D_lincoln-cent
2,1929,D,Dime,Mercury Dime,Winged Liberty,mercury-dime,,1929_D_mercury-dime
2,1929,,Dime,Mercury Dime,Winged Liberty Head,mercury-dime,,1929_mercury-dime
2,1929,D,Lincoln Cent,,,lincoln-cent,,1929_D_lincoln-cent
2,1929,S,Nickel,Buffalo Nickel,,buffalo-nickel,,1929_S_buffalo-nickel
2,1930,S,Quarter,Standing Liberty Silver Quarter,Standing Liberty,quarter,,1930_S_quarter
2,1931,,Dime,Mercury Dime,,mercury-dime,,1931_mercury-dime
2,1932,D,Penny,Lincoln Head Penny,Lincoln Portrait,lincoln-cent,,1932_D_lincoln-cent
2,1934,D,Quarter,Washington Silver Quarter,,quarter,,1934_D_quarter
2,1935,,Dime,Mercury Dime,Winged Liberty Head,mercury-dime,,1935_mercury-dime
2,1935,,Quarter,Washington Silver Quarter,,quarter,,1935_quarter
2,1937,,Dime,Mercury Dime,Winged Liberty Head,mercury-dime,,1937_mercury-dime
2,1938,,Capped Bust Silver Quarter,,,quarter,,1938_quarter
2,1939,S,Dime,Mercury Dime,Winged Liberty Head,mercury-dime,,1939_S_mercury-dime
2,1939,,Dime,Mercury Dime,Winged Liberty Head,mercury-dime,,1939_mercury-dime
2,1941,S,Dime,Mercury Dime,Mercury (Roman God),mercury-dime,,1941_S_mercury-dime
2,1941,S,Penny,Lincoln Head Penny,Lincoln Portrait,lincoln-cent,,1941_S_lincoln-cent
2,1942,D,Dime,,,dime,,1942_D_dime
2,1942,S,Kennedy Half Dollar,The World War II U.S. Coin Collection,WWII,kennedy-half-dollar,,1942_S_kennedy-half-dollar
2,1942,S,Lincoln Cent,The World War II U.S. Coin Collection,WWII,lincoln-cent,,1942_S_lincoln-cent
2,1942,,Quarter,Washington Silver Quarter,,quarter,,1942_quarter
2,1942,S,Washington Quarter,The World War II U.S. Coin Collection,WWII,quarter,,1942_S_quarter
2,1943,S,Nickel,Jefferson Nickel Series,"Thomas Jefferson, Wartime Nickel",jefferson-nickel,,1943_S_jefferson-nickel
2,1944,,Dime,Mercury Dime,Winged Liberty Head,mercury-dime,,1944_mercury-dime
2,1944,P,Nickel,Jefferson Nickel Series,"Thomas Jefferson, Wartime Nickel",jefferson-nickel,,1944_P_jefferson-nickel
2,1944,S,Penny,Lincoln Head Penny,Lincoln Head Penny,lincoln-cent,,1944_S_lincoln-cent
2,1945,S,Dime,Mercury Dime,Winged Liberty Head,mercury-dime,,1945_S_mercury-dime
2,1945,D,Quarter,Washington Silver Quarter,,quarter,,1945_D_quarter
2,1947,D,Quarter,Washington Silver Quarter,,quarter,,1947_D_quarter
2,1948,,Half Dollar,Franklin Half Dollar,Benjamin Franklin,kennedy-half-dollar,,1948_kennedy-half-dollar
2,1948,,Quarter,,,quarter,,1948_quarter
2,1949,,Half Dollar,Franklin Half Dollar,Benjamin Franklin,kennedy-half-dollar,,1949_kennedy-half-dollar
2,1949,D,Penny,Lincoln Cent,Lincoln Memorial Reverse,lincoln-cent,,1949_D_lincoln-cent
2,1950,D,Dime,Roosevelt Dimes,,dime,,1950_D_dime
2,1950,,Quarter,Washington Silver Quarter,,quarter,,1950_quarter
2,1951,,Dime,Roosevelt Dimes,silver,dime,,1951_dime
2,1951,D,Half Dollar,Franklin Half Dollar,Benjamin Franklin,kennedy-half-dollar,,1951_D_kennedy-half-dollar
2,1951,D,Quarter,Washington Silver Quarter,,quarter,,1951_D_quarter
2,1951,,Quarter,Washington Silver Quarter,,quarter,,1951_quarter
2,1952,D,Dime,Roosevelt Dimes,,dime,,1952_D_dime
2,1952,S,Penny,Lincoln Head Penny,Lincoln Portrait,lincoln-cent,,1952_S_lincoln-cent
2,1953,,Quarter,Washington Silver Quarter,,quarter,,1953_quarter
2,1954,D,Dime,Roosevelt Dimes,silver,dime,,1954_D_dime
2,1954,S,Half Dollar,Franklin Half Dollar,Benjamin Franklin,kennedy-half-dollar,,1954_S_kennedy-half-dollar
2,1954,D,Half Dollar,Franklin Half Dollar,Benjamin Franklin,kennedy-half-dollar,,1954_D_kennedy-half-dollar
2,1955,,Half Dollar,Franklin Half Dollar,Benjamin Franklin,kennedy-half-dollar,,1955_kennedy-half-dollar
2,1955,D,Quarter,Washington Silver Quarter,,quarter,,1955_D_quarter
2,1956,,Dime,Mercury Dime,Winged Liberty Head,mercury-dime,,1956_mercury-dime
2,1956,D,Dime,Roosevelt Dimes,Silver,dime,,1956_D_dime
2,1956,,Quarter,Washington Silver Quarter,,quarter,,1956_quarter
2,1956,D,Quarter,Washington Silver Quarter,,quarter,,1956_D_quarter
2,1957,D,Quarter,Washington Silver Quarter,,quarter,,1957_D_quarter
2,1958,,Half Dollar,Franklin Half Dollar,Benjamin Franklin,kennedy-half-dollar,,1958_kennedy-half-dollar
2,1958,D,Nickel,Jefferson Nickel Series,Thomas Jefferson,jefferson-nickel,,1958_D_jefferson-nickel
2,1958,D,Quarter,Washington Silver Quarter,,quarter,,1958_D_quarter
2,1959,D,Dime,Roosevelt Dimes,Silver,dime,,1959_D_dime
2,1959,,Half Dollar,Franklin Half Dollar,Benjamin Franklin,kennedy-half-dollar,,1959_kennedy-half-dollar
2,1959,,Penny,Lincoln Head Penny,Abraham Lincoln,lincoln-cent,,1959_lincoln-cent
2,1959,D,Quarter,Washington Silver Quarter,,quarter,,1959_D_quarter
2,1959,,Quarter,Washington Silver Quarter,,quarter,,1959_quarter
2,1960,,Quarter,Washington Silver Quarter,,quarter,,1960_quarter
2,1961,,Quarter,Washington Silver Quarter,,quarter,,1961_quarter
2,1962,,Dime,Roosevelt Dimes,,dime,,1962_dime
2,1962,D,Dime,Roosevelt Dimes,silver,dime,,1962_D_dime
2,1962,,Penny,Lincoln Head Penny,Abraham Lincoln,lincoln-cent,,1962_lincoln-cent
2,1962,,Quarter,Washington Silver Quarter,,quarter,,1962_quarter
2,1963,,Penny,Lincoln Head Penny,Abraham Lincoln,lincoln-cent,,1963_lincoln-cent
2,1963,,Quarter,Washington Silver Quarter,,quarter,,1963_quarter
2,1964,,Kennedy Half Dollar,Historic U.S. Silver Half-Dollars,,dollar,,1964_dollar
2,1964,,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,1964_lincoln-cent
2,1964,D,Quarter,Washington Silver Quarter,,quarter,,1964_D_quarter
2,1965,,Quarter,Washington Silver Quarter,,quarter,,1965_quarter
2,1966,,Kennedy Half Dollar,Kennedy Half Dollar Series,John F. Kennedy,kennedy-half-dollar,,1966_kennedy-half-dollar
2,1967,,Kennedy Half Dollar,Kennedy Half Dollar Series,John F. Kennedy,kennedy-half-dollar,,1967_kennedy-half-dollar
2,1968,S,Penny,Lincoln Cent,Lincoln Head,lincoln-cent,,1968_S_lincoln-cent
2,1969,,Dime,Roosevelt Dimes,,dime,,1969_dime
2,1969,S,Penny,Lincoln Cent,Lincoln Head,lincoln-cent,,1969_S_lincoln-cent
2,1970,,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,1970_lincoln-cent
2,1971,D,Penny,Lincoln Head Penny,Lincoln Portrait,lincoln-cent,,1971_D_lincoln-cent
2,1972,D,1 Dollar,Eisenhower Dollar,Dwight D. Eisenhower,dollar,,1972_D_dollar
2,1972,S,Penny,Lincoln Cent,Abraham Lincoln,lincoln-cent,,1972_S_lincoln-cent
2,1973,S,Penny,Lincoln Cent,Lincoln Cent (Memorial Reverse),lincoln-cent,,1973_S_lincoln-cent
2,1974,D,Kennedy Half Dollar,Kennedy Half Dollar,John F. Kennedy,kennedy-half-dollar,,1974_D_kennedy-half-dollar
2,1974,D,Penny,Lincoln Memorial Cent,Lincoln Head,lincoln-cent,,1974_D_lincoln-cent
2,1975,,Jefferson Nickel,THE U.S. NICKEL COLLECTION,Jefferson Nickel,nickel,,1975_nickel
2,1975,D,Penny,Lincoln Head Penny,Abraham Lincoln,lincoln-cent,,1975_D_lincoln-cent
2,1975,S,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,1975_S_lincoln-cent
2,1977,D,Penny,Lincoln Cent,Lincoln Memorial Reverse,lincoln-cent,,1977_D_lincoln-cent
2,1978,D,Dime,Roosevelt Dimes,,dime,,1978_D_dime
2,1978,S,Dime,Roosevelt Dimes,Type 2 Clear S,dime,,1978_S_dime
2,1978,S,Dollar,Eisenhower Dollar,Dwight D. Eisenhower,dollar,,1978_S_dollar
2,1979,,Kennedy Half Dollar,Kennedy Half Dollar,John F. Kennedy,kennedy-half-dollar,,1979_kennedy-half-dollar
2,1979,S,Kennedy Half Dollar,Kennedy Half Dollar,John F. Kennedy,kennedy-half-dollar,,1979_S_kennedy-half-dollar
2,1979,S,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,1979_S_lincoln-cent
2,1979,D,Penny,Lincoln Cent,Lincoln Memorial Reverse,lincoln-cent,,1979_D_lincoln-cent
2,1979,S,Quarter,Washington Silver Quarter,,quarter,,1979_S_quarter
2,1979,P,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Susan B. Anthony,dollar,,1979_P_dollar
2,1980,S,Kennedy Half Dollar,Kennedy Half Dollar Series,John F. Kennedy,kennedy-half-dollar,,1980_S_kennedy-half-dollar
2,1980,S,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Susan B. Anthony,dollar,,1980_S_dollar
2,1981,S,Quarter,Washington Silver Quarter,,quarter,,1981_S_quarter
2,1982,P,Penny,Lincoln Cent,"Lincoln Memorial Reverse, Large Date Copper Variety",lincoln-cent,,1982_P_lincoln-cent
2,1984,D,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,1984_D_lincoln-cent
2,1985,S,Dime,Roosevelt Dimes,,dime,,1985_S_dime
2,1985,S,Kennedy Half Dollar,,,kennedy-half-dollar,,1985_S_kennedy-half-dollar
2,1986,,1.0,American Silver Eagle,Mercanti,american-eagle-silver,,1986_american-eagle-silver
2,1989,,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,1989_lincoln-cent
2,1992,S,Dime,Roosevelt Dimes,,dime,,1992_S_dime
2,1992,S,Quarter,Washington Silver Quarter,,quarter,,1992_S_quarter
2,1993,S,Dime,Roosevelt Dimes,90% silver,dime,,1993_S_dime
2,1993,,Jefferson Nickel,THE U.S. NICKEL COLLECTION,Jefferson Nickel,nickel,,1993_nickel
2,1994,S,Dime,Roosevelt Dimes,,dime,,1994_S_dime
2,1994,S,Quarter,Washington Silver Quarter,,quarter,,1994_S_quarter
2,1995,,5,American Gold Eagle,American Gold Eagle,american-eagle-gold,,1995_american-eagle-gold
2,1995,S,Dime,Roosevelt Dimes,,dime,,1995_S_dime
2,1995,D,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,1995_D_lincoln-cent
2,1996,S,Dime,Roosevelt Dimes,,dime,,1996_S_dime
2,1997,S,Dime,Roosevelt Dimes,90% silver,dime,,1997_S_dime
2,1997,,Dollar,American Eagle,,american-eagle-silver,,1997_american-eagle-silver
2,1997,S,Kennedy Half Dollar,Kennedy Half Dollar Series,John F. Kennedy,kennedy-half-dollar,,1997_S_kennedy-half-dollar
2,1998,S,Dime,Roosevelt Dimes,,dime,,1998_S_dime
2,1998,P,Kennedy Half Dollar,Kennedy Half Dollar,John F. Kennedy,kennedy-half-dollar,,1998_P_kennedy-half-dollar
2,1998,S,Kennedy Half Dollar,Kennedy Half Dollar,John F. Kennedy,kennedy-half-dollar,,1998_S_kennedy-half-dollar
2,1998,,Nickel,THE U.S. NICKEL COLLECTION,Jefferson,nickel,,1998_nickel
2,1998,D,Penny,Lincoln Head Penny,Abraham Lincoln,lincoln-cent,,1998_D_lincoln-cent
2,1999,S,Dime,Roosevelt Dimes,,dime,,1999_S_dime
2,1999,,Dollar,American Eagle,,american-eagle-silver,,1999_american-eagle-silver
2,2000,S,Dime,Roosevelt Dimes,,dime,,2000_S_dime
2,2000,S,Kennedy Half Dollar,Kennedy Half Dollar,John F. Kennedy,kennedy-half-dollar,,2000_S_kennedy-half-dollar
2,2000,D,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,2000_D_lincoln-cent
2,2001,P,1 Dollar,Sacagawea Dollar,Sacagawea,native-american-dollar,,2001_P_native-american-dollar
2,2001,P,Dime,Roosevelt Dimes,,dime,,2001_P_dime
2,2001,S,Dime,Roosevelt Dimes,90% silver,dime,,2001_S_dime
2,2001,D,Penny,Lincoln Cent,Lincoln Head,lincoln-cent,,2001_D_lincoln-cent
2,2002,S,Dime,Roosevelt Dimes,90% silver,dime,,2002_S_dime
2,2002,P,Kennedy Half Dollar,Kennedy Half Dollar,John F. Kennedy,kennedy-half-dollar,,2002_P_kennedy-half-dollar
2,2003,S,Dime,Roosevelt Dimes,,dime,,2003_S_dime
2,2004,S,Dime,Roosevelt Dimes,90% silver,dime,,2004_S_dime
2,2004,S,Kennedy Half Dollar,Kennedy Half Dollar,John F. Kennedy,kennedy-half-dollar,,2004_S_kennedy-half-dollar
2,2004,,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,2004_lincoln-cent
2,2006,,5,American Gold Eagle,,american-eagle-gold,,2006_american-eagle-gold
2,2006,S,Dime,Roosevelt Dimes,,dime,,2006_S_dime
2,2006,S,Kennedy Half Dollar,Kennedy Half Dollar Series,John F. Kennedy,kennedy-half-dollar,,2006_S_kennedy-half-dollar
2,2006,,Penny,Lincoln Cent Series,Abraham Lincoln,lincoln-cent,,2006_lincoln-cent
2,2007,S,Dime,Roosevelt Dimes,,dime,,2007_S_dime
2,2007,D,Dime,Roosevelt Dimes,,dime,,2007_D_dime
2,2007,S,Kennedy Half Dollar,Kennedy Half Dollar,John F. Kennedy,kennedy-half-dollar,,2007_S_kennedy-half-dollar
2,2008,D,1,Presidential Dollars,James Monroe,presidential-dollars,james-monroe,2008_D_james-monroe_presidential-dollars
2,2008,D,1,Presidential Dollars,Andrew Jackson,presidential-dollars,andrew-jackson,2008_D_andrew-jackson_presidential-dollars
2,2008,D,1,Presidential Dollars,Martin Van Buren,presidential-dollars,martin-van-buren,2008_D_martin-van-buren_presidential-dollars
2,2008,S,Dime,Roosevelt Dimes,,dime,,2008_S_dime
2,2009,S,Dime,Roosevelt Dimes,,dime,,2009_S_dime
2,2010,,American Silver Eagle Dollar,American Silver Eagle,,american-eagle-silver,,2010_american-eagle-silver
2,2010,S,Dime,Roosevelt Dimes,,dime,,2010_S_dime
2,2010,S,Kennedy Half Dollar,Kennedy Half Dollar,John F. Kennedy,kennedy-half-dollar,,2010_S_kennedy-half-dollar
2,2010,D,Penny,Lincoln Cent,"Abraham Lincoln, Union Shield",lincoln-cent,,2010_D_lincoln-cent
2,2011,S,Dime,Roosevelt Dimes,90% silver,dime,,2011_S_dime
2,2012,S,Dime,Roosevelt Dimes,,dime,,2012_S_dime
2,2012,D,Penny,Lincoln Cent,Union Shield Reverse,lincoln-cent,,2012_D_lincoln-cent
2,2013,S,Dime,Roosevelt Dimes,90% silver,dime,,2013_S_dime
2,2014,S,Dime,Roosevelt Dimes,90% silver,dime,,2014_S_dime
2,2014,D,Penny,Lincoln Head Penny,Abraham Lincoln,lincoln-cent,,2014_D_lincoln-cent
2,2015,P,1,Presidential Dollars,Lyndon Johnson,presidential-dollars,lyndon-johnson,2015_P_lyndon-johnson_presidential-dollars
2,2015,D,1,Presidential Dollars,Lyndon Johnson,presidential-dollars,lyndon-johnson,2015_D_lyndon-johnson_presidential-dollars
2,2015,,American Silver Eagle Dollar,American Silver Eagle,,american-eagle-silver,,2015_american-eagle-silver
2,2015,S,Dime,Roosevelt Dimes,,dime,,2015_S_dime
2,2015,,Penny,Lincoln Shield Cent,Lincoln Shield,lincoln-cent,,2015_lincoln-cent
2,2016,S,Dime,Roosevelt Dimes,,dime,,2016_S_dime
2,2016,S,Kennedy Half Dollar,Kennedy Half Dollar,John F. Kennedy,kennedy-half-dollar,,2016_S_kennedy-half-dollar
2,2017,S,Dime,Roosevelt Dimes,,dime,,2017_S_dime
2,2018,S,Dime,Roosevelt Dimes,,dime,,2018_S_dime
2,2018,P,Kennedy Half Dollar,Kennedy Half Dollar Series,John F. Kennedy,kennedy-half-dollar,,2018_P_kennedy-half-dollar
2,2018,S,Kennedy Half Dollar,,,kennedy-half-dollar,,2018_S_kennedy-half-dollar
2,2018,D,Kennedy Half Dollar,Kennedy Half Dollar Series,John F. Kennedy,kennedy-half-dollar,,2018_D_kennedy-half-dollar
2,2019,,1,American Eagle,,american-eagle-silver,,2019_american-eagle-silver
2,2019,S,Dime,Roosevelt Dimes,,dime,,2019_S_dime
2,2020,,Dollar,American Eagle,,american-eagle-silver,,2020_american-eagle-silver
2,2020,S,Roosevelt Dime,,,dime,,2020_S_dime
2,2022,S,Dime,Roosevelt Dimes,,dime,,2022_S_dime
2,2022,D,Kennedy Half Dollar,Kennedy Half Dollar Series,John F. Kennedy,kennedy-half-dollar,,2022_D_kennedy-half-dollar
2,2022,S,Kennedy Half Dollar,Kennedy Half Dollar,,kennedy-half-dollar,,2022_S_kennedy-half-dollar
2,2023,S,Dime,Roosevelt Dimes,,dime,,2023_S_dime
2,2023,,Dollar,American Silver Eagle,,american-eagle-silver,,2023_american-eagle-silver
2,2023,S,Kennedy Half Dollar,Kennedy Half Dollar,,kennedy-half-dollar,,2023_S_kennedy-half-dollar
2,2024,S,Kennedy Half Dollar,Kennedy Half Dollar,,kennedy-half-dollar,,2024_S_kennedy-half-dollar
1,1806,,25 Cents,Barber Silver Quarters,Draped Bust,barber,,1806_barber
1,1807,,Draped Bust Silver Quarter,Draped Bust Silver Quarter Series,Draped Bust Design,quarter,,1807_quarter
1,1808,,Half Dollar,Capped Bust,Variety 1,kennedy-half-dollar,,1808_kennedy-half-dollar
1,1810,,Half Dollar,Capped Bust Half Dollar,,kennedy-half-dollar,,1810_kennedy-half-dollar
1,1811,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1811_kennedy-half-dollar
1,1812,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1812_kennedy-half-dollar
1,1813,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1813_kennedy-half-dollar
1,1814,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1814_kennedy-half-dollar
1,1818,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1818_kennedy-half-dollar
1,1818,,Capped Bust Silver Quarter,,,quarter,,1818_quarter
1,1818,,Penny,Large Cent,,cent,,1818_cent
1,1820,,Capped Bust Silver Dime,Capped Bust Dime,Liberty Seated (Capped Bust),dime,,1820_dime
1,1821,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1821_kennedy-half-dollar
1,1821,,Capped Bust Silver Quarter,,,quarter,,1821_quarter
1,1822,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1822_kennedy-half-dollar
1,1823,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1823_kennedy-half-dollar
1,1824,,Penny,Matron Head Large Cent,Liberty Head,cent,,1824_cent
1,1825,,Half Cent,Classic Head,,cent,,1825_cent
1,1825,,Half Dollar,Capped Bust,Lettered Edge,kennedy-half-dollar,,1825_kennedy-half-dollar
1,1826,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1826_kennedy-half-dollar
1,1827,,Capped Bust Silver Dime,Capped Bust Dime,Liberty Seated (Capped Bust),dime,,1827_dime
1,1827,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1827_kennedy-half-dollar
1,1828,,Capped Bust Silver Quarter,,,quarter,,1828_quarter
1,1829,,Capped Bust Half Dollar,Capped Bust Half Dollar,,kennedy-half-dollar,,1829_kennedy-half-dollar
1,1829,,Half Cent,Classic Head,,cent,,1829_cent
1,1830,,Capped Bust Silver Dime,Capped Bust Dime,Liberty Seated (Capped Bust),dime,,1830_dime
1,1830,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1830_kennedy-half-dollar
1,1831,,Capped Bust Silver Dime,Capped Bust Dime,Liberty Seated (Capped Bust),dime,,1831_dime
1,1831,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1831_kennedy-half-dollar
1,1832,,Capped Bust Silver Quarter,,,quarter,,1832_quarter
1,1833,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1833_kennedy-half-dollar
1,1833,,Capped Bust Silver Quarter,Capped Bust Silver Quarter Series,Capped Bust Design,quarter,,1833_quarter
1,1833,,Half Dime,Capped Bust,,dime,,1833_dime
1,1834,,Dime,Capped Bust,Large 4,dime,,1834_dime
1,1834,,Penny,Matron Head Large Cent,Liberty Head,cent,,1834_cent
1,1835,,Capped Bust Silver Half Dollar,Capped Bust Half Dollar,Capped Bust Liberty,kennedy-half-dollar,,1835_kennedy-half-dollar
1,1836,,Capped Bust Silver Dime,Capped Bust Dime,Liberty Seated (Capped Bust),dime,,1836_dime
1,1836,,Capped Bust Silver Quarter,,,quarter,,1836_quarter
1,1837,,Penny,Coronet Head Large Cent,Liberty Head,cent,,1837_cent
1,1837,,Quarter,Liberty Seated,"Liberty Seated, Variety 2",quarter,,1837_quarter
1,1838,O,Dime,Liberty Seated Silver Dime,,dime,,1838_O_dime
1,1838,,Nickel,,Stars No Drapery,nickel,,1838_nickel
1,1838,,Penny,Coronet Head Large Cent,Liberty Head,cent,,1838_cent
1,1839,O,Nickel,,Stars No Drapery,nickel,,1839_O_nickel
1,1839,,Quarter,Liberty Seated,"Liberty Seated, No Motto",quarter,,1839_quarter
1,1840,,Quarter,Liberty Seated,"Liberty Seated, No Motto",quarter,,1840_quarter
1,1840,O,Quarter,Liberty Seated,"Liberty Seated, No Motto, No Drapery",quarter,,1840_O_quarter
1,1840,O,Seated Liberty Silver Half Dollar,Seated Liberty Half Dollar,Seated Liberty,kennedy-half-dollar,,1840_O_kennedy-half-dollar
1,1842,,Dollar,Liberty Seated,Liberty Seated Silver Dollar,dollar,,1842_dollar
1,1842,,Large Cent,Braided Hair Large Cents,Liberty Head,cent,,1842_cent
1,1842,,Nickel,,Stars,nickel,,1842_nickel
1,1842,O,Nickel,,,nickel,,1842_O_nickel
1,1842,O,Quarter,Liberty Seated,"Liberty Seated, No Motto, Large Date",quarter,,1842_O_quarter
1,1843,,Dollar,Liberty Seated,Liberty Seated Silver Dollar,dollar,,1843_dollar
1,1843,O,Half Dollar,Liberty Seated,No Motto,kennedy-half-dollar,,1843_O_kennedy-half-dollar
1,1843,,Large Cent,Braided Hair Large Cents,Liberty Head,cent,,1843_cent
1,1843,,Nickel,,Stars,nickel,,1843_nickel
1,1843,,Quarter,Liberty Seated,"Liberty Seated, No Motto",quarter,,1843_quarter
1,1843,O,Quarter,Liberty Seated,"Liberty Seated, No Motto",quarter,,1843_O_quarter
1,1844,,Dime,Liberty Seated Silver Dime,,dime,,1844_dime
1,1844,O,Half Dollar,Liberty Seated,No Motto,kennedy-half-dollar,,1844_O_kennedy-half-dollar
1,1844,,Half Dollar,Liberty Seated,No Motto,kennedy-half-dollar,,1844_kennedy-half-dollar
1,1844,,Nickel,,Stars,nickel,,1844_nickel
1,1844,,Quarter,Liberty Seated,"Liberty Seated, No Motto",quarter,,1844_quarter
1,1844,O,Quarter,Liberty Seated,"Liberty Seated, No Motto",quarter,,1844_O_quarter
1,1845,,Large Cent,Braided Hair Large Cents,Liberty Head,cent,,1845_cent
1,1845,,Nickel,,Stars,nickel,,1845_nickel
1,1846,O,Half Dollar,Liberty Seated,Medium Date,kennedy-half-dollar,,1846_O_kennedy-half-dollar
1,1846,,Half Dollar,Liberty Seated,Tall Date,kennedy-half-dollar,,1846_kennedy-half-dollar
1,1846,,Quarter,Liberty Seated,"Liberty Seated, No Motto",quarter,,1846_quarter
1,1847,,Large Cent,Braided Hair Large Cents,Liberty Head,cent,,1847_cent
1,1847,,Nickel,,Stars,nickel,,1847_nickel
1,1847,,Quarter,Liberty Seated,"Liberty Seated, No Motto",quarter,,1847_quarter
1,1848,,Large Cent,Braided Hair Large Cents,Liberty Head,cent,,1848_cent
1,1848,O,Nickel,,Stars,nickel,,1848_O_nickel
1,1849,,Large Cent,Braided Hair Large Cents,Liberty Head,cent,,1849_cent
1,1849,,Liberty Seated Dime,Liberty Seated,Stars,dime,,1849_dime
1,1849,O,Nickel,,Stars,nickel,,1849_O_nickel
1,1850,O,Half Dollar,Liberty Seated,No Motto,kennedy-half-dollar,,1850_O_kennedy-half-dollar
1,1850,,Quarter,Liberty Seated,"Liberty Seated, No Motto",quarter,,1850_quarter
1,1850,O,Quarter,Liberty Seated,"Liberty Seated, No Motto",quarter,,1850_O_quarter
1,1851,,Dime,Liberty Seated Silver Dime,,dime,,1851_dime
1,1852,,Large Cent,Braided Hair Large Cents,Liberty Head,cent,,1852_cent
1,1852,,Nickel,,Stars,nickel,,1852_nickel
1,1853,O,Half Dollar,Liberty Seated,Arrows and Rays,kennedy-half-dollar,,1853_O_kennedy-half-dollar
1,1853,,Half Dollar,Liberty Seated,Arrows and Rays,kennedy-half-dollar,,1853_kennedy-half-dollar
1,1853,,Large Cent,Braided Hair Large Cents,Liberty Head,cent,,1853_cent
1,1853,O,Quarter,Liberty Seated,"Liberty Seated, Arrows and Rays",quarter,,1853_O_quarter
1,1854,,Dime,Liberty Seated Silver Dime,,dime,,1854_dime
1,1854,O,Dime,Liberty Seated Silver Dime,,dime,,1854_O_dime
1,1854,,Nickel,,Arrows,nickel,,1854_nickel
1,1854,,Quarter,Liberty Seated,"Liberty Seated, Arrows at Date",quarter,,1854_quarter
1,1855,,Half Dollar,Liberty Seated,With Arrows,kennedy-half-dollar,,1855_kennedy-half-dollar
