Category,Series,Denomination,Year,Mint Mark,Variety,Has History,Has Obverse,Has Reverse,Grok Verified
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Nevada)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Nebraska)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Colorado)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (North Dakota)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (South Dakota)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Montana)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Washington)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Idaho)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Wyoming)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Utah)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Oklahoma)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (New Mexico)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Arizona)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Alaska)",Yes,No,No,No
coin,Quarter,Quarter Dollar,,,"¼ Dollar ""Washington Quarter"" (Hawaii)",Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Lincoln - Wheat Ears Reverse""",Yes,No,No,No
coin,Dollar,One Dollar,,,"1 Dollar ""Sacagawea Dollar""",Yes,No,No,No
coin,Half Dollar,Half Dollar,,,"½ Dollar ""Kennedy Half Dollar"" (90% Silver)",Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Liberty Head/Braided Hair Cent""",Yes,No,No,No
coin,Dollar,One Cent,,,"1 Cent ""Indian Head Cent"" (with shield)",Yes,No,No,No
coin,Dollar,Five Cents,,,"5 Cents ""Buffalo Nickel"" (flat ground)",Yes,No,No,No
coin,Dollar,Three Cents,,,"3 Cents ""Trime"" (type 1 - no lines bordering star)",Yes,No,No,No
coin,Dollar,One Dollar,,,"1 Dollar ""Eisenhower Dollar""",Yes,No,No,No
