original,new_file,attribution
2025-Superman-Gold-Obverse.jpg,attributed_2025-Superman-Gold-Obverse.jpg,United States Mint image
2025-native-american-one-dollar-proof-coin-obverse.jpg,attributed_2025-native-american-one-dollar-proof-coin-obverse.jpg,United States Mint image
SemiQ-Gettysburg-Obverse-Unc-D.jpg,attributed_SemiQ-Gettysburg-Obverse-Unc-D.jpg,United States Mint image
2007-presidential-dollar-coin-george-washington-uncirculated-obverse.jpg,attributed_2007-presidential-dollar-coin-george-washington-uncirculated-obverse.jpg,United States Mint image
2025-american-women-quarters-coin-stacey-park-milbern-proof-reverse.jpg,attributed_2025-american-women-quarters-coin-stacey-park-milbern-proof-reverse.jpg,United States Mint image
Penny-Proof-Reverse.jpg,attributed_Penny-Proof-Reverse.jpg,United States Mint image
SemiQ-Penny-Obverse-Unc-D (1).jpg,attributed_SemiQ-Penny-Obverse-Unc-D (1).jpg,United States Mint image
Native-American-$1-Proof-Obverse (1).jpg,attributed_Native-American-$1-Proof-Obverse (1).jpg,United States Mint image
2025-jefferson-nickel-uncirculated-obverse-philadelphia.jpg,attributed_2025-jefferson-nickel-uncirculated-obverse-philadelphia.jpg,United States Mint image
2025-american-buffalo-one-ounce-gold-proof-coin-obverse (1).jpg,attributed_2025-american-buffalo-one-ounce-gold-proof-coin-obverse (1).jpg,United States Mint image
American-Eagle-Gold-Bullion-1oz-Reverse.jpg,attributed_American-Eagle-Gold-Bullion-1oz-Reverse.jpg,United States Mint image
2025-american-women-quarters-coin-juliette-gordon-low-uncirculated-reverse.jpg,attributed_2025-american-women-quarters-coin-juliette-gordon-low-uncirculated-reverse.jpg,United States Mint image
2023-american-eagle-palladium-one-ounce-uncirculated-coin-reverse (1).jpg,attributed_2023-american-eagle-palladium-one-ounce-uncirculated-coin-reverse (1).jpg,United States Mint image
1804-dollar-gold-obverse (1).jpg,attributed_1804-dollar-gold-obverse (1).jpg,United States Mint image
2025-american-women-quarters-coin-althea-gibson-uncirculated-reverse (1).jpg,attributed_2025-american-women-quarters-coin-althea-gibson-uncirculated-reverse (1).jpg,United States Mint image
2025-lincoln-penny-proof-reverse.jpg,attributed_2025-lincoln-penny-proof-reverse.jpg,United States Mint image
2025-american-eagle-silver-proof-navy-privy-reverse (1).jpg,attributed_2025-american-eagle-silver-proof-navy-privy-reverse (1).jpg,United States Mint image
2007-presidential-dollar-coin-uncirculated-reverse.jpg,attributed_2007-presidential-dollar-coin-uncirculated-reverse.jpg,United States Mint image
Native-American-$1-Proof-Reverse.jpg,attributed_Native-American-$1-Proof-Reverse.jpg,United States Mint image
SemiQ-Dime-Reverse-Unc (1).jpg,attributed_SemiQ-Dime-Reverse-Unc (1).jpg,United States Mint image
2025-jefferson-nickel-uncirculated-reverse (1).jpg,attributed_2025-jefferson-nickel-uncirculated-reverse (1).jpg,United States Mint image
2025-Wonder-Woman-Gold-Proof-Coin-Reverse (1).jpg,attributed_2025-Wonder-Woman-Gold-Proof-Coin-Reverse (1).jpg,United States Mint image
Mercury-Dime-Gold-Reverse.jpg,attributed_Mercury-Dime-Gold-Reverse.jpg,United States Mint image
SemiQ-Mayflower-Reverse-Unc (1).jpg,attributed_SemiQ-Mayflower-Reverse-Unc (1).jpg,United States Mint image
2025-american-women-quarters-coin-althea-gibson-proof-reverse.jpg,attributed_2025-american-women-quarters-coin-althea-gibson-proof-reverse.jpg,United States Mint image
2025-Batman-Gold-Proof-Coin-Reverse (1).jpg,attributed_2025-Batman-Gold-Proof-Coin-Reverse (1).jpg,United States Mint image
1804-dollar-gold-obverse.jpg,attributed_1804-dollar-gold-obverse.jpg,United States Mint image
2025-Wonder-Woman-Gold-Proof-Coin-Reverse.jpg,attributed_2025-Wonder-Woman-Gold-Proof-Coin-Reverse.jpg,United States Mint image
SemiQ-Half-Dollar-Obverse-Unc-D.jpg,attributed_SemiQ-Half-Dollar-Obverse-Unc-D.jpg,United States Mint image
2025-roosevelt-dime-uncirculated-obverse-denver (1).jpg,attributed_2025-roosevelt-dime-uncirculated-obverse-denver (1).jpg,United States Mint image
Half-Dollar-Proof-Obverse.jpg,attributed_Half-Dollar-Proof-Obverse.jpg,United States Mint image
2025-lincoln-penny-uncirculated-reverse (1).jpg,attributed_2025-lincoln-penny-uncirculated-reverse (1).jpg,United States Mint image
2025-lincoln-penny-proof-obverse.jpg,attributed_2025-lincoln-penny-proof-obverse.jpg,United States Mint image
2025-american-women-quarters-coin-uncirculated-obverse-denver.jpg,attributed_2025-american-women-quarters-coin-uncirculated-obverse-denver.jpg,United States Mint image
SemiQ-Mayflower-Obverse-Proof.jpg,attributed_SemiQ-Mayflower-Obverse-Proof.jpg,United States Mint image
American-Innovation-Unc-Reverse-California (1).jpg,attributed_American-Innovation-Unc-Reverse-California (1).jpg,United States Mint image
2025-Peace-Unc-Obverse.jpg,attributed_2025-Peace-Unc-Obverse.jpg,United States Mint image
SemiQ-Declaration-Obverse-Unc-P (1).jpg,attributed_SemiQ-Declaration-Obverse-Unc-P (1).jpg,United States Mint image
2025-Peace-Unc-Reverse (1).jpg,attributed_2025-Peace-Unc-Reverse (1).jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-clad-proof-obverse.jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-clad-proof-obverse.jpg,United States Mint image
